Code,Name,Structure type,Category,Description
A01d01,Spatial Orientation,Descriptor,Abilities,The ability to know your location in relation to the environment or know where objects are in relation to you. This descriptor is measured by proficiency level level on a scale of 1-5
A01d02,Spatial Visualization,Descriptor,Abilities,"The ability to think visually about geometric forms, comprehend the two-dimensional representation of three-dimensional objects and recognize the relationships resulting from the movement of objects in space. This descriptor is measured by proficiency level level on a scale of 1-5"
A01e,Communication Abilities,Similarity Group,Abilities,
A01e01,Verbal Ability,Descriptor,Abilities,"The ability to understand the meaning, precise use, associated ideas, and relationships of spoken words; and to use them in the proper context when presenting information or ideas. This descriptor is measured by proficiency level level on a scale of 1-5"
A01e02,Written Comprehension,Descriptor,Abilities,The ability to read and understand information and ideas presented in written form. This descriptor is measured by proficiency level level on a scale of 1-5
A01e03,Written Expression,Descriptor,Abilities,The ability to communicate information and ideas in writing and adapting the writing style to the audience so that they can understand. This descriptor is measured by proficiency level level on a scale of 1-5
A01f,Other Cognitive Abilities,Similarity Group,Abilities,
A01f01,Selective Attention,Descriptor,Abilities,The ability to concentrate on a task over a period of time without being distracted. This descriptor is measured by proficiency level level on a scale of 1-5
A01f02,Form Perception,Descriptor,Abilities,The ability to perceive pertinent detail in objects and graphic material; to make visual comparisons and discriminations and to see slight differences in shapes and shadings of figures and widths and lengths of lines. This descriptor is measured by proficiency level level on a scale of 1-5
A01f03,General Learning Ability,Descriptor,Abilities,"The ability to ""catch on"" or understand instructions and underlies principles to reason and make judgments. This descriptor is measured by proficiency level level on a scale of 1-5"
A02,Physical Abilities,Sub-Category,Abilities,"Abilities to perform physical activities that require strength, endurance, flexibility, balance or coordination."
A02a,Physical Strength Abilities,Similarity Group,Abilities,
A02a01,Trunk Strength,Descriptor,Abilities,"The ability to exert your abdominal and lower back muscles to support part of the body repeatedly or continuously over time without ""giving out"" or fatiguing. This descriptor is measured by proficiency level level on a scale of 1-5"
A02a02,Static Strength,Descriptor,Abilities,"The ability to exert muscle force to lift, push, pull, carry, or transfer objects. This descriptor is measured by proficiency level level on a scale of 1-5"
A02a03,Dynamic Strength,Descriptor,Abilities,The ability to exert muscle force repeatedly or continuously over time. This involves muscular endurance and resistance to muscle fatigue. This descriptor is measured by proficiency level level on a scale of 1-5
A02a04,Explosive Strength,Descriptor,Abilities,"The ability to exert short bursts of muscle force to propel oneself (as in jumping or sprinting), to throw an object, or to apply force with a tool. This descriptor is measured by proficiency level level on a scale of 1-5"
A02b,"Flexibility, Balance, and Coordination",Similarity Group,Abilities,
A02b01,Multi-Limb Coordination,Descriptor,Abilities,"The ability to coordinate two or more limbs, such as two arms, two legs, or one leg and one arm, while sitting, standing, or lying down. It does not involve performing the activities while the whole body is in motion. This descriptor is measured by proficiency level level on a scale of 1-5"
A02b02,Gross Body Coordination,Descriptor,Abilities,"The ability to coordinate the movement of your arms, legs, and torso together when the whole body is in motion. This descriptor is measured by proficiency level level on a scale of 1-5"
A02b03,Gross Body Equilibrium,Descriptor,Abilities,The ability to keep or regain your body balance or stay upright when in an unstable position. This descriptor is measured by proficiency level level on a scale of 1-5
A02b04,Body Flexibility,Descriptor,Abilities,"The ability to bend, stretch, twist, or reach with your body, arms, and/or legs. This descriptor is measured by proficiency level level on a scale of 1-5"
A02b05,Dynamic Flexibility,Descriptor,Abilities,"The ability to quickly and repeatedly bend, stretch, twist, or reach out with your body, arms, and/or legs. This descriptor is measured by proficiency level level on a scale of 1-5"
A02c,Endurance,Similarity Group,Abilities,
A02c01,Stamina,Descriptor,Abilities,The ability to perform intense physical activities over long periods without becoming winded or out of breath. This descriptor is measured by proficiency level level on a scale of 1-5
A03,Psychomotor Abilities,Sub-Category,Abilities,Abilities needed to manipulate and control objects.
A03a,Fine Manipulative Abilities,Similarity Group,Abilities,
A03a01,Arm-Hand Steadiness,Descriptor,Abilities,The ability to keep your hand and arm steady while moving or holding them in one position. This descriptor is measured by proficiency level level on a scale of 1-5
A03a02,Finger Dexterity,Descriptor,Abilities,"The ability to make precisely coordinated movements of the fingers of one or both hands to grasp, manipulate, or assemble small objects. This descriptor is measured by proficiency level level on a scale of 1-5"
A03a03,Manual Dexterity,Descriptor,Abilities,"The ability to move your hand, your hand together with your arm, or your two hands to grasp, manipulate, or assemble objects or tools. This descriptor is measured by proficiency level level on a scale of 1-5"
A03b,Control Movement Abilities,Similarity Group,Abilities,
A03b01,Motor Coordination,Descriptor,Abilities,"The ability to coordinate eyes, hands and fingers accurately to respond with precise movements. This descriptor is measured by proficiency level level on a scale of 1-5"
A03b02,Rate Control,Descriptor,Abilities,The ability to time your movements or the movement of a piece of equipment in anticipation of changes in the speed and/or direction of a moving object. This descriptor is measured by proficiency level level on a scale of 1-5
A03b03,Control of Settings,Descriptor,Abilities,The ability to adjust the controls of a machine or a vehicle to exact positions. This descriptor is measured by proficiency level level on a scale of 1-5
A03b04,Multi-Signal Response,Descriptor,Abilities,"The ability to choose quickly between one or more movements with the hand, finger, or foot in response to the appearance of two or more different signals such as lights, sounds, or images. This descriptor is measured by proficiency level level on a scale of 1-5"
A03c,Reaction Time and Speed Abilities,Similarity Group,Abilities,
A03c01,Reaction Time,Descriptor,Abilities,"The ability to respond quickly with one or more limbs to a stimulus such as noise, light or image. This descriptor is measured by proficiency level level on a scale of 1-5"
A03c02,Speed of Limb Movement,Descriptor,Abilities,The ability to quickly move the arms and legs. This descriptor is measured by proficiency level level on a scale of 1-5
A03c03,Finger-Hand-Wrist Motion,Descriptor,Abilities,"The ability to make fast, simple, and repeated movements of the fingers, hands, and wrists. This descriptor is measured by proficiency level level on a scale of 1-5"
A04,Sensory Abilities,Sub-Category,Abilities,"Abilities needed to perform activities that require visual, auditory, tactile, olfactory or speech perception."
A04a,Auditory and Speech Abilities,Similarity Group,Abilities,
A04a01,Auditory Attention,Descriptor,Abilities,The ability to give full attention on a single source of sound in the presence of other distracting sounds. This descriptor is measured by proficiency level level on a scale of 1-5
A04a02,Hearing Sensitivity,Descriptor,Abilities,The ability to detect or distinguish the differences between sounds in terms of pitch and volume. This descriptor is measured by proficiency level level on a scale of 1-5
A04a03,Speech Clarity,Descriptor,Abilities,"The ability to articulate and pronounce words clearly, so others can understand you when you speak. This descriptor is measured by proficiency level level on a scale of 1-5"
A04a04,Speech Recognition,Descriptor,Abilities,The ability to identify and understand the speech of another person. This descriptor is measured by proficiency level level on a scale of 1-5
A04a05,Sound Localization,Descriptor,Abilities,"The ability to identify the direction, origin and distance from which a sound comes. This descriptor is measured by proficiency level level on a scale of 1-5"
A04b,Visual Abilities,Similarity Group,Abilities,
A04b01,Far Vision,Descriptor,Abilities,The ability to see details of objects and people at a distance. This descriptor is measured by proficiency level level on a scale of 1-5
A04b02,Near Vision,Descriptor,Abilities,The ability to see details at close range. This descriptor is measured by proficiency level level on a scale of 1-5
A04b03,Peripheral Vision,Descriptor,Abilities,"The ability to see objects, people, or their movement in the peripheral field of vision when looking ahead. This descriptor is measured by proficiency level level on a scale of 1-5"
A04b04,Depth Perception,Descriptor,Abilities,"The ability to discern which of several objects is closer or farther away from you, or to estimate the distance between you and an object. This descriptor is measured by proficiency level level on a scale of 1-5"
A04b05,Glare Tolerance,Descriptor,Abilities,"The ability to see objects or people, in the presence of glare or bright lighting. This descriptor is measured by proficiency level level on a scale of 1-5"
A04b06,Night Vision,Descriptor,Abilities,The ability to see under low light conditions. This descriptor is measured by proficiency level level on a scale of 1-5
A04c,Other Sensory Abilities,Similarity Group,Abilities,
A04c01,Colour Perception,Descriptor,Abilities,"The ability to match or detect differences or similarities between colours, including shades of colour and brightness. This descriptor is measured by proficiency level level on a scale of 1-5"
A04c02,Smell,Descriptor,Abilities,The ability to perceive odours through the nose. This descriptor is measured by proficiency level level on a scale of 1-5
A04c03,Taste,Descriptor,Abilities,The ability to recognize or verify a particular flavor of a substance by tasting it. This descriptor is measured by proficiency level level on a scale of 1-5
A04c04,Touch,Descriptor,Abilities,The ability to acquire information about the environment through skin contact. This descriptor is measured by proficiency level level on a scale of 1-5
B,Personal Attributes,Category,Personal Attributes,Personal characteristics that are innate and developed through the social context and personal experiences to which the individual is exposed. These qualities influence the way one is and does things and are considered valuable assets for work performance.
B01,Social Traits,Sub-Category,Personal Attributes,The personal characteristics related to the positive attitudes one has toward other people that most often lead to positive relationships.
B01a,Social Influence,Similarity Group,Personal Attributes,
B01a01,Leadership,Descriptor,Personal Attributes,"The quality of leading others towards a common goal by guiding, influencing, and inspiring them. This descriptor is measured by importance on a scale of 1-5."
B01a02,Charisma,Descriptor,Personal Attributes,"The quality of possessing charm, attracting and arousing the interest, attention, or admiration of others through speeches, attitudes, temperament, or actions. This descriptor is measured by importance on a scale of 1-5."
B01b,Interpersonal Orientation,Similarity Group,Personal Attributes,
B01b01,Concern for Others,Descriptor,Personal Attributes,The quality of having empathy towards others' feelings and needs and being understanding and helpful. This descriptor is measured by importance on a scale of 1-5.
B01b02,Collaboration,Descriptor,Personal Attributes,The quality of contributing and working cooperatively while being supportive and inclusive of others to achieve a common goal. This descriptor is measured by importance on a scale of 1-5.
B01b03,Service Orientation,Descriptor,Personal Attributes,"The quality of actively looking for ways to help, serve, or assist others. This descriptor is measured by importance on a scale of 1-5."
B01b04,Trust in Others,Descriptor,Personal Attributes,The quality of establishing and maintaining a relationship of trust with the people around you. This descriptor is measured by importance on a scale of 1-5.
B01b05,Social Orientation,Descriptor,Personal Attributes,The quality of seeking to work with others and relating to them on the job. This descriptor is measured by importance on a scale of 1-5.
B02,Self-Improvement,Sub-Category,Personal Attributes,"The personal characteristics related to the improvement of one's knowledge, status, or character by one's own efforts."
B02a,Adjustment,Similarity Group,Personal Attributes,
B02a01,Adaptability,Descriptor,Personal Attributes,The quality of adapting oneself to expected or unexpected changes and different situations while continuing to achieve past or renewed goals. This descriptor is measured by importance on a scale of 1-5.
B02a02,Self-Control,Descriptor,Personal Attributes,"The quality of maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behaviour, even in very difficult situations. This descriptor is measured by importance on a scale of 1-5."
B02a03,Stress Tolerance,Descriptor,Personal Attributes,"The quality of being able to remain calm, without being carried away by stress situations and to deal effectively with such situations. This descriptor is measured by importance on a scale of 1-5."
B02a04,Tolerance of Ambiguity,Descriptor,Personal Attributes,"The quality of being able to function in an environment where there is uncertainty, unpredictability, conflicting directions or multiple demands and to approach these situations as challenges to improve. This descriptor is measured by importance on a scale of 1-5."
B02a05,Resilience,Descriptor,Personal Attributes,"The quality of recovering from difficulties or changes, one has had to face, to bounce back and then move forward. This descriptor is measured by importance on a scale of 1-5."
B02b,Self-Reflective Orientation,Similarity Group,Personal Attributes,
B02b01,Self-Awareness,Descriptor,Personal Attributes,"The quality of being aware of own personality, character, and feelings including strengths, weaknesses, thoughts, behaviors, beliefs, motivation, and emotions. This descriptor is measured by importance on a scale of 1-5."
B02b02,Self-Confidence,Descriptor,Personal Attributes,"The quality of trust in one’s ability to achieve goals, believing in one’s potential and abilities, and knowing that one is capable of achieving goals when facing challenges. This descriptor is measured by importance on a scale of 1-5."
B02c,Learning Orientation,Similarity Group,Personal Attributes,
B02c01,Active Learning,Descriptor,Personal Attributes,Pro-actively looking to understand the implications of new information in the current and changing workplace. This descriptor is measured by importance on a scale of 1-5.
B02c02,Continuous Learning,Descriptor,Personal Attributes,"Wanting to continuously develop and improve one's skills, abilities and knowledge in order to adapt to changes and work effectively. This descriptor is measured by importance on a scale of 1-5."
B03,Results-Based Attributes,Sub-Category,Personal Attributes,The personal characteristics related to the drivers around brining things to completion.
B03a,Action-Oriented,Similarity Group,Personal Attributes,
B03a01,Achievement,Descriptor,Personal Attributes,The quality of establishing and maintaining goals and exerting all effort to accomplish them successfully. This descriptor is measured by importance on a scale of 1-5.
B03a02,Initiative,Descriptor,Personal Attributes,"The quality of taking on responsibilities and challenges, proposing, doing or organizing something by oneself without being prompted by others. This descriptor is measured by importance on a scale of 1-5."
B03a03,Motivation,Descriptor,Personal Attributes,"The quality of being driven by interest, need, reason or reward to achieve something or to reach a set outcome. This descriptor is measured by importance on a scale of 1-5."
B03a04,Perseverance,Descriptor,Personal Attributes,"The quality of voluntarily and deliberately putting forth the effort required by a task or activity despite difficulties, failure or obstacles. This descriptor is measured by importance on a scale of 1-5."
B03a05,Risk-Taking,Descriptor,Personal Attributes,"The quality of being willing to make a risky choice, with regard for the consequences, in the hope of achieving a desired results or benefit in return. This descriptor is measured by importance on a scale of 1-5."
B03a06,Competitiveness,Descriptor,Personal Attributes,The quality of being driven by a deep desire to be as good as or better than others to perform well in a comparable context. This descriptor is measured by importance on a scale of 1-5.
B03a07,Independence,Descriptor,Personal Attributes,"The quality of developing one's own way of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done. This descriptor is measured by importance on a scale of 1-5."
B04,Professional Conscientiousness,Sub-Category,Personal Attributes,The personal characteristics related to the drivers around fulfilling commitments.
B04a,Sense of Responsibility,Similarity Group,Personal Attributes,
B04a01,Reliable,Descriptor,Personal Attributes,The quality of being dependable and respectful of commitments. This descriptor is measured by importance on a scale of 1-5.
B04a02,Integrity,Descriptor,Personal Attributes,"The quality of being honest, ethical, and authentic. This descriptor is measured by importance on a scale of 1-5."
B04a03,Being Responsible,Descriptor,Personal Attributes,The quality of taking responsibility for one’s own actions and the actions of a group. This descriptor is measured by importance on a scale of 1-5.
B05,Dynamic Thinking,Sub-Category,Personal Attributes,The personal characteristics related to bubbling ideas and critical thinking.
B05a,Practical Thinking,Similarity Group,Personal Attributes,
B05a01,Having Judgement,Descriptor,Personal Attributes,The quality of forming an opinion consistent with common sense based on an assessment of an event or fact. This descriptor is measured by importance on a scale of 1-5.
B05a02,Analytical Thinking,Descriptor,Personal Attributes,The quality of analyzing information and using logic to address issues and problems. This descriptor is measured by importance on a scale of 1-5.
B05a03,Attention to Detail,Descriptor,Personal Attributes,The quality of being meticulous in the execution of tasks. This descriptor is measured by importance on a scale of 1-5.
B05b,Unconventional Thinking,Similarity Group,Personal Attributes,
B05b01,Creativity,Descriptor,Personal Attributes,"The quality of coming up with unusual or clever ideas about a given topic or situation, or to develop original ways to solve a problem. This descriptor is measured by importance on a scale of 1-5."
B05b02,Innovativeness,Descriptor,Personal Attributes,The quality of alternative thinking to develop new products or services to make improvement or to develop a new approach. This descriptor is measured by importance on a scale of 1-5.
B05b03,Entrepreneurial Spirit,Descriptor,Personal Attributes,The quality of identifying and seizing opportunities and moving from idea to achievement. This descriptor is measured by importance on a scale of 1-5.
C,Interests,Category,Interests,Preferences for work environments and outcomes.
C01,Holland Codes,Sub-Category,Interests,"Holland codes, also referred to as RIASEC codes, refer to John L. Holland's six interest personality types. Each of them are characterized by the dominant activities, preferences and interests most often expected."
C01a,Interests - Holland Codes,Similarity Group,Interests,
C01a01,Realistic,Descriptor,Interests,"Realistic occupations are characterized by the dominance of activities that entail the explicit, ordered or systematic manipulation of objects, tools, machines and animals. Many of these occupations do not involve a lot of paperwork or working closely with others."
C01a02,Investigative,Descriptor,Interests,"Investigative occupations are characterized by the dominance of activities that entail the observation and systematic or creative investigation of physical, biological, or cultural phenomena. These occupations require an extensive amount of thinking and frequently involve working with ideas, searching for facts and figuring out problems mentally."
C01a03,Artistic,Descriptor,Interests,"Artistic occupations are characterized by the dominance of activities that entail artistic expression to create, compose or produce visual, performing, literary or applied art. These occupations frequently involve working with forms, designs and patterns and often require self-expression and the accomplishment of work without following a clear set of rules."
C01a04,Social,Descriptor,Interests,"Social occupations are characterized by the dominance of activities that entail the interaction with others to inform, train, aid, develop, cure, or enlighten.  These occupations often involve helping or providing service to others, teaching, working or communicating with people."
C01a05,Enterprising,Descriptor,Interests,"Enterprising occupations are characterized by the dominance of action-oriented activities to attain organizational or self-interest goals.  They frequently involve starting up and carrying out projects, influencing, leading or mobilizing people, making decisions, and sometimes require risk taking and dealing with business."
C01a06,Conventional,Descriptor,Interests,"Conventional occupations are characterized by the dominance of activities that entail following sets of procedures and routines. These activities may include systematic manipulation of data, such as keeping records, filing materials, reproducing materials, organizing written and numerical data according to a prescribed plan, and operating business and data processing. They often require following a clear line of authority and usually involve working with data and details more than with ideas."
F,Skills,Category,Skills,"Developed capabilities that an individual must have to be effective in a job, role, function, task or duty."
F01,Foundational Skills,Sub-Category,Skills,Developed capabilities that facilitate the more rapid acquisition of other skills and knowledge.
F01a,Verbal Skills,Similarity Group,Skills,
F01a01,Oral Communication: Active Listening,Descriptor,Skills,"The capability to give full attention to what other people are saying, take time to understand the points being made, ask questions as appropriate, and not interrupt at inappropriate times. This descriptor is measured by proficiency level on a scale of 1-5."
F01a02,Oral Communication: Oral Comprehension,Descriptor,Skills,The capability to listen to and understand information and ideas presented through spoken words and sentences. This descriptor is measured by proficiency level on a scale of 1-5.
F01a03,Oral Communication: Oral Expression,Descriptor,Skills,The capability to talk to others to convey information effectively. This descriptor is measured by proficiency level on a scale of 1-5.
F01b,Reading and Writing SkillsF.01.b.01,Similarity Group,Skills,
F01b01,Reading Comprehension,Descriptor,Skills,"The capability to understand written information presented through words, sentences, paragraphs, symbols, and images in work-related documents. This descriptor is measured by proficiency level on a scale of 1-5."
F01b02,Writing,Descriptor,Skills,"The capability to communicate in writing by using written words, sentences, paragraphs, symbols, and images and adapted for the needs of the audience. This descriptor is measured by proficiency level on a scale of 1-5."
F01c,Mathematical Skills,Similarity Group,Skills,
F01c01,Numeracy,Descriptor,Skills,"The capability to understand, use and report numbers and other mathematical information presented through words, numbers, symbols, and graphics. This descriptor is measured by proficiency level on a scale of 1-5."
F01c02,Digital Literacy,Descriptor,Skills,"The capability to understand and use digital devices and tools to obtain, exchange, create or process digital information in a secure manner. This descriptor is measured by proficiency level on a scale of 1-5."
F02,Analytical Skills,Sub-Category,Skills,Developed capability that people need to process information and data logically to produce useable results.
F02a,Process Analysis Skills,Similarity Group,Skills,
F02a01,Critical Thinking,Descriptor,Skills,"The capability to use logic and reasoning to question, discern, interpret and analyze various types of information to form an evidence-based conclusion or judgment. This descriptor is measured by proficiency level on a scale of 1-5."
F02a02,Learning and Teaching Strategies,Descriptor,Skills,The capability to select and use training/instructional methods and procedures appropriate for the situation when learning or teaching new things. This descriptor is measured by proficiency level on a scale of 1-5.
F02a03,Decision Making,Descriptor,Skills,"The capability to analyze information among a set of alternatives, to evaluate potential outcome and choose the most appropriate solutions to achieve a predetermined objective. This descriptor is measured by proficiency level on a scale of 1-5."
F02b,Operations and Systems Analysis Skills,Similarity Group,Skills,
F02b01,Evaluation,Descriptor,Skills,"The capability to systematically assess products, services or processes using measurable indicators with the goal of ensuring or improving performance. This descriptor is measured by proficiency level on a scale of 1-5."
F02b02,Requirements Analysis,Descriptor,Skills,The capability to analyze needs and product requirements to create a design. This descriptor is measured by proficiency level on a scale of 1-5.
F02b03,Systems Analysis,Descriptor,Skills,"The capability to determine how a system should work and how changes in conditions, operations, and the environment will affect outcomes. This descriptor is measured by proficiency level on a scale of 1-5."
F02b04,Researching and Investigating,Descriptor,Skills,"The capability to conduct studies and to examine information and data to increase knowledge, understand facts, find causes, test hypotheses and draw conclusions or make recommendations. This descriptor is measured by proficiency level on a scale of 1-5."
F02b05,Problem Solving,Descriptor,Skills,The capability to identify problems and review related information to develop solutions or feasible options to achieve the desired end state. This descriptor is measured by proficiency level on a scale of 1-5.
F03,Technical Skills,Sub-Category,Skills,"Developed capabilities that relate to the practical or mechanical side of an activity, the application of a set of technical processes and required know-how."
F03a,Technical Skills,Similarity Group,Skills,
F03a01,Equipment and Tool Selection,Descriptor,Skills,"The capability to choose between two or more types of tools, equipment or, machinery to perform a job. This descriptor is measured by proficiency level on a scale of 1-5."
F03a02,Preventative Maintenance,Descriptor,Skills,"The capability to perform maintenance on equipment, devices, building or machinery to keep them in functional and to prevent damage or failures. This descriptor is measured by proficiency level on a scale of 1-5."
F03a03,Setting Up,Descriptor,Skills,"The capability to set up, adjust, install and assemble equipment, machines, parts or to prepare them for their functioning and use. This descriptor is measured by proficiency level on a scale of 1-5."
F03a04,Operation and Control,Descriptor,Skills,"The capability to maneuver and control operations of equipment, machines, vehicles or systems. This descriptor is measured by proficiency level on a scale of 1-5."
F03a05,Operation Monitoring of Machinery and Equipment,Descriptor,Skills,"The capability to watch gauges, dials, digital displays or other indicators to ensure a machine or piece of equipment is working according to specifications. This descriptor is measured by proficiency level on a scale of 1-5."
F03a06,Troubleshooting,Descriptor,Skills,"The capability to determine causes of operating errors in equipment, machinery, or technological systems and decide how to resolve the issues. This descriptor is measured by proficiency level on a scale of 1-5."
F03a07,Repairing,Descriptor,Skills,"The capability to replace, restore or adjust  defective or deficient components in equipment, machines, and technical systems and test for function, appearance, operation and safety. This descriptor is measured by proficiency level on a scale of 1-5."
F03a08,Quality Control Testing,Descriptor,Skills,"The capability to conduct tests or inspections of prototypes, products, services, or processes to ensure their quality. This descriptor is measured by proficiency level on a scale of 1-5."
F03a09,Product Design,Descriptor,Skills,"The capacity to design and develop layouts for the construction of objects, equipment, machinery, structures, or engineering systems (excluding software and hardware). This descriptor is measured by proficiency level on a scale of 1-5."
F03a10,Digital Production,Descriptor,Skills,"The capacity to design, develop, adapt, or integrate hardware, software applications, electronic devices or digital technologies while adhering to cybersecurity standards. This descriptor is measured by proficiency level on a scale of 1-5."
F04,Resource Management Skills,Sub-Category,Skills,"Developed capabilities to plan, organize, monitor or control the resources to achieve goals."
F04a,Resource Management Skills,Similarity Group,Skills,
F04a01,Management of Financial Resources,Descriptor,Skills,"The capability to plan, organize, direct, control or monitor financial resources and activities and account for the use of theses resources to ensure their utilization are conform to the objectives and purposes. This descriptor is measured by proficiency level on a scale of 1-5."
F04a02,Management of Material Resources,Descriptor,Skills,"The capability to plan and manage the purchase, inventory, warehousing, transportation, or distribution of products or materials and their use. This descriptor is measured by proficiency level on a scale of 1-5."
F04a03,Management of Personnel Resources,Descriptor,Skills,"The capability to recruit, train, motivate, develop and direct employees, identify the best person for the tasks to be performed and establish their work objectives in relation to the objectives of the organization. This descriptor is measured by proficiency level on a scale of 1-5."
F04b,Planning Skills,Similarity Group,Skills,
F04b01,Operational Planning,Descriptor,Skills,"The capability to determine phases and steps, define activities and tasks, and establish schedules to complete objectives on time and within budget. This descriptor is measured by proficiency level on a scale of 1-5."
F04b02,Projecting Outcomes,Descriptor,Skills,"The capability to estimate, predict and forecast results and outcomes of an action or a series of actions based on data and indicators. This descriptor is measured by proficiency level on a scale of 1-5."
F04b03,Risk Management,Descriptor,Skills,The capability to identify and assess risks and determine procedures to be followed to reduce or avoid their impact. This descriptor is measured by proficiency level on a scale of 1-5.
F04b04,Strategic Planning,Descriptor,Skills,"The capability set goals according to organization’s needs, to develop strategies, and action plans to achieve. This descriptor is measured by proficiency level on a scale of 1-5."
F04b05,Time Management,Descriptor,Skills,The capability to manage one's own time and the time of others. This descriptor is measured by proficiency level on a scale of 1-5.
F04c,Monitoring,Similarity Group,Skills,
F04c01,Monitoring,Descriptor,Skills,"The capability to monitor and assess the performance of yourself, other individuals or the organization to make improvements or take corrective action. This descriptor is measured by proficiency level on a scale of 1-5."
F04d,Change Management and Crisis Management Skills,Similarity Group,Skills,
F04d01,Change Management,Descriptor,Skills,"The capability to plan and implement strategies for effecting change, communicate the effects of change, and provide guidance and support to those affected by change. This descriptor is measured by proficiency level on a scale of 1-5."
F04d02,Crisis Management,Descriptor,Skills,"The capability to establish a response plan for emergencies, to apply it and adapt it to situations while limiting the impact on people, customers, employees and the organisation. This descriptor is measured by proficiency level on a scale of 1-5."
F05,Interpersonal Skills,Sub-Category,Skills,Developed capabilities used to work with people to achieve goals.
F05a,Interpersonal Skills,Similarity Group,Skills,Developed capabilities used to work with people to achieve goals.
F05a01,Coordinating,Descriptor,Skills,The capability to organize people or groups by adjusting activities in relation to others' activities so that they work effectively as a whole. This descriptor is measured by proficiency level on a scale of 1-5.
F05a02,Instructing,Descriptor,Skills,"The capability to teach others knowledge, or how to do something. This descriptor is measured by proficiency level on a scale of 1-5."
F05a03,Negotiating,Descriptor,Skills,"The capability to participate in, or facilitate communication between parties, in order to resolve differences, and reach a mutually acceptable or viable  agreement. This descriptor is measured by proficiency level on a scale of 1-5."
F05a04,Persuading,Descriptor,Skills,"The capability to convince others to change their minds, beliefs, intentions or behaviours. This descriptor is measured by proficiency level on a scale of 1-5."
F05a05,Social Perceptiveness,Descriptor,Skills,"The capability to be aware of others' reactions, unspoken communication, body language cues and feelings and discern the reasons behind their behaviours. This descriptor is measured by proficiency level on a scale of 1-5."
F05a06,Cross-Cultural Sensitivity,Descriptor,Skills,"The capability to communicate, interact and work appropriately with people from different cultural backgrounds, in recognition that diversity is being both between and within cultural groups and can be expressed in customs, values, and ways of thinking and acting. This descriptor is measured by proficiency level on a scale of 1-5."
F05a07,Managing Conversation,Descriptor,Skills,The capability to lead and facilitate dialogue between two or more people. This descriptor is measured by proficiency level on a scale of 1-5.
G,Knowledge,Category,Knowledge,Organized sets of principles and practices used for the execution of tasks and activities within a particular domain.
G01,Administration and Management,Sub-Category,Knowledge,Organized set of principles and practices relating to administration and management domains.
G01a,Administration and Management,Similarity Group,Knowledge,
